가게명,별점,주소,카테고리,위도,경도
메인당구장,0.0,광주 광산구 임방울대로332번길 35,당구장,35.1897596309828,126.825889131616
빅박스당구클럽,0.0,광주 북구 우치로90번길 8-5,당구장,35.1752226815275,126.913188643603
SM당구장,0.0,광주 광산구 월계로 169,당구장,35.2136680435915,126.844044726574
빅볼 당구장,0.0,"광주 남구 광복마을7길 7 2, 3층",당구장,35.1274011826525,126.895495018691
영구당구클럽,0.0,광주 북구 우치로110번길 28,당구장,35.1772918362806,126.913946454214
스카이당구클럽,0.0,광주 북구 우치로90번길 5,당구장,35.1756997342957,126.912888112236
명가당구클럽,0.0,광주 서구 상무버들로 26,당구장,35.1646064156893,126.860591640994
송정당구클럽,0.0,광주 광산구 용아로379번길 35 3층,당구장,35.1765189344247,126.802351704684
대통녕당구클럽,0.0,광주 동구 충장로 29,당구장,35.1513820577796,126.911878916267
탑당구장,0.0,광주 남구 봉선2로 39-6,당구장,35.1261759331449,126.910804567859
하남역당구클럽,0.0,광주 남구 회재로 1242,당구장,35.1338225124352,126.896881821197
VIP당구클럽,0.0,광주 서구 상무대로955번길 11-1,당구장,35.1526073260108,126.86633378429
포켓볼파티,0.0,광주 북구 양산택지로 52,당구장,35.210759936091,126.880595917055
스타당구클럽,0.0,광주 광산구 임방울대로826번길 25,당구장,35.216368244848,126.848970953365
연아당구장,0.0,광주 서구 군분로179번길 14,당구장,35.1471517607479,126.88439394008
타이거당구클럽,0.0,광주 서구 상무번영로 44 캐네디안바닷가재,당구장,35.153777890416,126.853296233411
센트럴당구클럽,0.0,광주 북구 탁영로 6,당구장,35.1665153272024,126.933132943039
킹당구클럽,0.0,광주 북구 문산로 27-4 7층 아지트당구장,당구장,35.184773015559,126.92194899737
원당구장,0.0,광주 서구 상무대로884번길 17-4 가도도시형생활주택,당구장,35.1486659273033,126.859464236813
cc당구클럽,0.0,광주 북구 서암대로 39,당구장,35.172904664347,126.889112821951
교대당구장,0.0,광주 서구 월드컵4강로 239,당구장,35.1575571172082,126.868868137662
홍춘당구클럽,0.0,광주 북구 양산로 50,당구장,35.2102199316255,126.879680549539
오픈스페이스,0.0,광주 서구 하남대로 696 모림빌딩4층,당구장,35.1714673097498,126.868768857368
우리당구클럽,0.0,광주 북구 서하로 119,당구장,35.1876093848768,126.8936328453
골드당구클럽,0.0,광주 서구 상무버들로 22,당구장,35.164565279102,126.86103219139
레전드당구클럽,0.0,광주 서구 상무대로 908,당구장,35.1505705084853,126.861190535889
큐앤볼당구,0.0,광주 서구 죽봉대로22번길 3,당구장,35.155447790111,126.883921689962
빅당구장,0.0,광주 광산구 수완로74번길 12-6,당구장,35.1910757168199,126.829449957188
빅박스당구클럽,0.0,광주 광산구 송정로 30,당구장,35.1359004266255,126.794355857522
당구존,0.0,광주 광산구 수등로 251,당구장,35.1853357804454,126.836358264392
J당구장,0.0,광주 서구 풍금로151번길 6-6,당구장,35.130552421007,126.858525240768
용두당구클럽,0.0,광주 서구 상일로24번길 8,당구장,35.1574773718264,126.863904979025
무등당구장,0.0,광주 동구 중앙로160번길 31-12,당구장,35.1466984827744,126.916702182944
블루당구클럽,4.32,광주 광산구 첨단강변로99번길 17 2층,당구장,35.2154132801593,126.851681501535
리버풀당구클럽,0.0,광주 광산구 왕버들로 265,당구장,35.1962386348451,126.837689320355
선운당구클럽,0.0,광주 북구 서강로54번길 22,당구장,35.1759590875069,126.873385625711
동네당구장,0.0,광주 북구 송해로 67,당구장,35.2044052098152,126.899433663485
봉선국제식대대당구장,0.0,광주 북구 자미로 51,당구장,35.1705999439067,126.903945309169
루루당구장,0.0,광주 광산구 손재로110번길 42 5층 ok당구클럽,당구장,35.1759555268698,126.799300018166
삼대당구장,0.0,광주 북구 첨단연신로 261,당구장,35.207320476313,126.859056300292
마이빌리어드클럽,0.0,광주 서구 상무번영로 53 리치네스빌딩,당구장,35.1547663035627,126.852761512436
용용당구장,0.0,광주 광산구 장신로 176,당구장,35.190447851531,126.829334553884
문흥 당구장,0.0,광주 북구 첨단연신로91번길 20-7,당구장,35.2069794377198,126.86190090759
빌리진당구클럽,0.0,광주 광산구 풍영로229번길 5,당구장,35.1919709824319,126.813752492137
JJ당구클럽,0.0,광주 서구 치평로 112,당구장,35.1572855320534,126.847673629275
보스당구장,0.0,광주 남구 서문대로 737-2 2층 시카고당구장,당구장,35.125027782381,126.897266031847
아지트당구클럽,0.0,광주 동구 의재로 69,당구장,35.1322500499782,126.935220082985
킹콩당구장,0.0,광주 동구 무등로304번길 8,당구장,35.1620782924386,126.9157772536
탑당구클럽,0.0,광주 광산구 장신로 255,당구장,35.1909255181941,126.838229117303
트루당구장,0.0,광주 서구 풍금로 39,당구장,35.1226608949979,126.863160187781
모아당구장,0.0,광주 서구 월드컵4강로 230,당구장,35.1566339203078,126.869596840344
별세계당구클럽,4.4,"광주 남구 봉선2로 37 , 3층",당구장,35.1258494263564,126.910393725447
스마일당구장,0.0,광주 동구 양림로119번길 7,당구장,35.1404771901673,126.920178984903
무지개당구장,0.0,광주 북구 설죽로214번길 107-6,당구장,35.1783578984176,126.903685990796
스카이당구클럽,0.0,광주 광산구 첨단중앙로152번길 17-3,당구장,35.2193041963141,126.843006860821
빅박스당구장,0.0,광주 북구 유림로 144 3층 DS당구클럽,당구장,35.1753420369939,126.864247250061
마초당구CIUB,0.0,광주 북구 황계로55번길 12-14,당구장,35.178617600144,126.875435528863
에이스당구클럽,0.0,광주 남구 광복마을길 49 5층,당구장,35.122216821619,126.897307080915
유일당구장,0.0,광주 북구 면앙로139번길 35,당구장,35.1780946182408,126.927947040726
공때려당구장,0.0,광주 남구 효덕로 286,당구장,35.1090473652862,126.897139545946
뽀록당구클럽,0.0,광주 동구 구성로152번길 24,당구장,35.1487218735977,126.912503363398
하이런당구클럽,0.0,광주 북구 용봉로 77 전남대학교 학생생활관9호관 2층 204호,당구장,35.1738813321332,126.911144724821
이칠당구장,0.0,광주 광산구 선운로 7,당구장,35.1489615454436,126.770393387654
후루꾸당구클럽,0.0,광주 서구 상무중앙로 9 동양빌딩,당구장,35.1477598158502,126.847915252819
동서당구장,0.0,광주 북구 매곡로 76,당구장,35.1915220580769,126.892897139537
챔프당구장,0.0,광주 서구 상무평화로 93-6,당구장,35.1486756555251,126.849404722623
패밀리 당구존,0.0,광주 남구 군분로 43,당구장,35.1374048373964,126.893487620878
아지트당구장,0.0,광주 광산구 임방울대로800번길 42,당구장,35.2156744986954,126.845701110312
무지개당구장,0.0,광주 광산구 사암로 275,당구장,35.1689433365633,126.808771222343
놀이터당구장,0.0,광주 북구 일곡마을로 41 2층 당당클럽당구장,당구장,35.2051175486606,126.896756083552
매니아당구장,0.0,광주 북구 북문대로242번길 13,당구장,35.1883264335269,126.865955263122
양지당구장,0.0,광주 동구 중앙로160번길 16-4,당구장,35.1472632517458,126.914468175904
CC당구클럽,0.0,광주 광산구 어등대로 418-2,당구장,35.1489301416467,126.769898977829
OK당구클럽,0.0,광주 북구 자미로 57,당구장,35.1712376257037,126.904022826901
유촌당구장,0.0,광주 서구 마륵로 126,당구장,35.1464206143678,126.845170978922
ABC당구클럽,0.0,광주 서구 하남대로 696,당구장,35.1714673097498,126.868768857368
피리당구장,0.0,광주 서구 상무화원로32번길 35,당구장,35.1464379603561,126.846193164378
당구마을,0.0,광주 남구 효덕로 272,당구장,35.1076913028835,126.897297773195
집근처당구장,0.0,광주 북구 양산택지로51번길 2,당구장,35.2110014260059,126.880248953232
스피드당구장,0.0,광주 광산구 사암로216번길 28-8,당구장,35.1630199258929,126.80988313844
궁당구장,0.0,광주 광산구 금봉로 64,당구장,35.151620060296,126.805493925527
